x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;y
32.2;20.6;24.93;82.7;54;94;288;29.4;9.7;2.63;4562.9;4248.6
31.8;20.1;24.9;84.17;57;94;307;97;9.7;1.71;4248.6;3268.72
31.7;20.9;25.71;84.27;58;94;333;52.6;12.9;1.83;3268.72;3199.82
29.8;22.4;24.49;89.6;60;94;158;263;8;1.19;3199.82;4584.36
31.4;22.3;24.95;89.95;63;94;179;338.8;9.7;1.41;4584.36;5669.07
30.2;22.1;25.04;86.96;67;94;240;98.4;9.7;1.39;5669.07;5665.92
31.6;20.9;25.23;86.6;63;94;267;67.8;8;1.17;5665.92;5230.24
31.4;21.8;25.2;86.5;62;95;244;58.4;8;1.35;5230.24;4601.87
32.1;20.9;25.85;84.48;62;94;339;16.6;9.7;1.36;4601.87;4270.28
32.6;21.1;25.47;85.46;59;94;287;58;11.3;1.69;4270.28;4342.59
31.9;20.7;25.33;86.88;58;100;227;61.8;14.5;0.8;4342.59;4275.12
31.9;21.6;25.18;86.44;55;94;248;99.8;8;1.41;4275.12;5104.25
30.9;20.6;25.15;85.49;60;94;255;61.4;12.9;1.45;5104.25;4576
31.7;21.6;24.69;86.63;61;94;250;107.6;6.4;1.68;4576;5243.31
31.9;21.4;25.73;84.27;62;94;325;42.6;8;1.51;5243.31;5305.87
32.2;21;25.86;83.06;59;95;309;1.4;11.3;1.5;5305.87;5310.138078
32.2;22.2;25.5;86.69;56;95;224;48.4;8;1.22;5310.138078;5314.32
32.3;21.4;26.02;84.68;60;95;331;34.4;16.1;1.72;5314.32;5559.65
32.4;19.8;25.35;86.25;58;95;279;65;11.3;1.33;5559.65;5611.68
32.2;20.7;25.15;86.33;55;96;292;36.6;8;1.17;5611.68;4740
31.8;20.3;25.48;84.07;60;96;339;43.2;12.9;1.5;4740;4934.88
33.4;21.4;25.48;84.62;56;96;335;51.4;9.7;1.37;4934.88;5312.91
33.2;20.8;25.92;82.65;57;96;383;10;11.3;1.58;5312.91;5010.32
32.6;21;26.08;82.15;55;96;378;0.4;9.7;1.67;5010.32;4738.56
32.2;21.2;25.46;85.93;58;96;298;29.6;8;1.3;4738.56;4956.66
32.3;21.5;25.94;84.92;58;96;330;13.2;4.8;1.23;4956.66;4884
32.8;21.4;26.42;84.57;59;97;327;2.6;9.7;1.64;4884;4740.12
